uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:6E7mneOYKKKFivxPHeRWE7,0.34,0.76,1,-7.753,1,0.129,0.0357,0.0448,0.0955,0.0381,182.071,aggressive
spotify:track:6xrqktHyZEDvPJSEsxuwYz,0.539,0.921,5,-2.688,1,0.118,5.08E-05,1.47E-06,0.262,0.232,107.049,aggressive
spotify:track:5UDIJbA6a3epCgntdODPCl,0.726,0.626,0,-8.884,1,0.0332,0.0135,0,0.112,0.634,129.996,aggressive
spotify:track:4I58RPHVzDldHfK3t5HiZA,0.643,0.954,9,-3.255,1,0.108,0.00528,0,0.466,0.54,114.964,aggressive
spotify:track:3tfTwukbzAVanIvsYeIEmj,0.59,0.823,5,-4.606,0,0.0394,0.00187,0,0.375,0.571,129.969,aggressive
spotify:track:2ouOVzQTzSsLa2OH1Zxhvu,0.686,0.862,7,-3.426,1,0.034,0.00207,1.12E-05,0.148,0.472,87.48,aggressive
spotify:track:3hrh0gPGdpZiNYxkgpYe2Y,0.751,0.693,8,-6.021,1,0.22,0.0168,0,0.225,0.559,92.031,aggressive
spotify:track:0i8JFpqe9cKwnrcvoNgl1L,0.603,0.886,5,-3.777,0,0.0837,0.00045,0,0.26,0.395,126.025,aggressive
spotify:track:6rSuL1ViLO7Aljn2WD09s4,0.509,0.938,11,-3.883,0,0.0715,0.000644,0.00246,0.14,0.335,94.019,aggressive
spotify:track:6OMO6WdRhSfjMPAiPT94wH,0.376,0.95,9,-4.067,1,0.0641,0.00021,0,0.0377,0.438,178.018,aggressive
spotify:track:2RZWdE8kYPlCAcRUYDeuLC,0.564,0.865,2,-7.384,1,0.121,0.000583,0,0.056,0.726,183.052,aggressive
spotify:track:5thfpDHbJL3JyrSjsnhiLY,0.677,0.94,9,-4.254,1,0.294,0.0918,0,0.0634,0.764,149.886,aggressive
spotify:track:5rRwE8PjHsBXfvQ2toLAA9,0.328,0.974,9,-2.863,1,0.169,0.00123,0,0.3,0.334,194.198,aggressive
spotify:track:5vB0cxSvzXuVh15EDD0Cej,0.378,0.985,0,-3.86,1,0.262,0.00827,0,0.534,0.41,193.035,aggressive
spotify:track:2mumY7rLurSxmnWIC1PCtc,0.556,0.868,9,-5.741,1,0.0441,0.00157,0,0.512,0.433,164.075,aggressive
spotify:track:3ZpwwnyXZLppRzSY1DG5lx,0.618,0.815,1,-5.997,0,0.328,0.146,0,0.222,0.388,168.095,aggressive
spotify:track:4ofZe3eFWlNKC0FYEFOSvG,0.537,0.898,7,-1.819,1,0.134,0.0049,0,0.15,0.575,102.513,aggressive
spotify:track:1rfgs4royNOYxw269vuTTT,0.852,0.921,6,-5.164,0,0.0419,0.159,0,0.0546,0.63,110.005,aggressive
spotify:track:7floNISpH8VF4z4459Qo18,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,aggressive
spotify:track:6R0GRYk2vs2XuBVemYK5YZ,0.493,0.826,9,-3.106,1,0.311,0.095,3.42E-06,0.252,0.75,112.865,aggressive
spotify:track:1T5mVPJE6LilJ7f73L3UDo,0.668,0.805,1,-4.964,0,0.101,0.161,1.69E-06,0.139,0.31,150.021,aggressive
spotify:track:0LX4f8NnYnGxuryfP1MtJf,0.796,0.549,8,-6.285,1,0.0672,0.00572,0.335,0.0719,0.0479,109.998,aggressive
spotify:track:0cbTAd02EwRloIIOjTTCDC,0.815,0.486,1,-8.733,0,0.0912,0.173,0,0.12,0.161,108.985,aggressive
spotify:track:4UUFTQKwwId0n1P9t4ZQhx,0.843,0.286,1,-10.575,1,0.352,0.0125,1.69E-06,0.0681,0.265,120.06,aggressive
spotify:track:33OG3eJX77UAcaTzQa0xIu,0.88,0.335,1,-9.757,1,0.379,0.0387,0,0.0677,0.214,119.98,aggressive
spotify:track:4cr3qfdLz6co4iwSomOYw5,0.635,0.698,2,-8.242,1,0.469,0.145,0,0.205,0.53,153.124,aggressive
spotify:track:3WUa9TpHDoRGeChKDRRUqv,0.755,0.695,9,-5.963,1,0.26,0.0179,0,0.107,0.493,128.063,aggressive
spotify:track:3IIArPxV2jUXk2zTKbzCVx,0.714,0.853,5,-4.9,0,0.304,0.205,0,0.116,0.178,102.034,aggressive
spotify:track:1rsAFUCa6BVMgRQ3FCQQsi,0.803,0.789,10,-3.434,0,0.0383,0.0304,0,0.378,0.647,119.999,aggressive
spotify:track:2INqEk4ko5AsGVLBsiKiQe,0.793,0.366,7,-10.051,1,0.136,0.0214,0,0.0964,0.278,122.991,aggressive
spotify:track:5o7ZDvfOry1MNhNLBOJulo,0.825,0.761,8,-5.389,1,0.104,0.0111,0.00359,0.334,0.161,149.97,aggressive
spotify:track:2gfKNyAHI4MBwBkkP3hXCE,0.938,0.813,7,-6.872,0,0.27,0.0624,1.23E-06,0.0801,0.73,122.984,aggressive
spotify:track:7uuBfgY1vBCalrQRyyQhqs,0.681,0.659,9,-6.405,1,0.268,0.000856,8.17E-06,0.11,0.225,156.004,aggressive
spotify:track:3STThGLjuFSaoseZvWupmx,0.717,0.925,0,-4.246,1,0.311,0.244,0,0.287,0.412,137.989,aggressive
spotify:track:1fEl5TPKRJAsuP6TqZ23hB,0.781,0.553,0,-4.277,1,0.0735,0.201,0.000233,0.383,0.308,121.968,aggressive
spotify:track:1d1CEnqzJk3f7nooWfdefu,0.822,0.92,0,-2.031,1,0.0449,0.18,0.00152,0.425,0.33,119.984,aggressive
spotify:track:78EDmwVdZzp6vTl3hVWzpW,0.646,0.963,8,-0.092,1,0.288,0.00498,0,0.309,0.539,149.987,aggressive
spotify:track:7Cye3UbCA6UNuDykdCf3AB,0.625,0.45,9,-9.985,1,0.0311,0.0776,0.000217,0.117,0.0362,92.974,aggressive
spotify:track:5VphpldmtVyZH6S8RpHWLT,0.81,0.735,8,-4.522,1,0.171,0.00454,0.0828,0.115,0.134,119.994,aggressive
spotify:track:2HIyiTyHaweHWBTC3jIMjp,0.839,0.526,1,-5.87,1,0.083,0.004,3.34E-06,0.111,0.158,131.942,aggressive
spotify:track:0BiKFgl8a6UZvJhv8v0tCb,0.663,0.848,1,-4.03,1,0.0955,0.0299,1.23E-06,0.145,0.326,120.977,aggressive
spotify:track:4zIMuGSdbGTahvHB7CloVR,0.81,0.585,9,-7.037,0,0.288,0.248,0.0115,0.0959,0.281,139.968,aggressive
spotify:track:44AH8XwgrebHvQAZJbSrsV,0.473,0.772,10,-6.332,0,0.317,0.0212,0,0.399,0.303,130.32,aggressive
spotify:track:6IgtGf4ZmG3OPLmE1PFXrr,0.878,0.233,5,-11.311,0,0.603,0.242,0,0.0817,0.135,134.956,aggressive
spotify:track:2vjmyyAnDUzilFYxOlTdO1,0.66,0.775,2,-4.926,1,0.172,0.0553,0,0.129,0.635,157.036,aggressive
spotify:track:5NT0aZqWImC9fTzkW4z48o,0.755,0.631,1,-4.485,1,0.476,0.184,0,0.221,0.198,182.389,aggressive
spotify:track:0zl3PdjIl320fK0pxBGWNR,0.599,0.857,7,-5.7,1,0.299,0.0321,0,0.4,0.469,187.985,aggressive
spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ,0.585,0.895,11,-3.663,0,0.136,0.0505,0.00423,0.32,0.181,119.904,aggressive
spotify:track:3xFqnmy3DltBMTOQVL2xvS,0.808,0.581,6,-8.793,1,0.269,0.104,0,0.379,0.722,116.988,aggressive
spotify:track:3MAfAtD9lKvugbWzaz21LS,0.694,0.514,1,-11.063,0,0.0449,0.0336,0.000164,0.115,0.136,120.011,aggressive
spotify:track:3kZAm2TC74lBJFPDoV40Qc,0.973,0.446,3,-9.355,0,0.0612,0.0303,1.75E-05,0.121,0.265,115.039,aggressive
spotify:track:17ogq23URBFExgIEnqbzOv,0.489,0.562,0,-6.071,1,0.0349,0.0131,0.00133,0.117,0.0397,94.91,aggressive
spotify:track:4H74gbbaADS905j4pgCfbb,0.476,0.781,0,-4.71,1,0.103,0.0237,0,0.114,0.175,93.474,aggressive
spotify:track:1rr9KQgLpdA8gN307EufaA,0.618,0.743,1,-4.458,1,0.234,0.0191,0.0232,0.452,0.249,120.16,aggressive
spotify:track:7jMm9nHuU9DhQzDDAtWfqK,0.839,0.687,10,-7.071,1,0.139,0.0615,6.24E-06,0.0586,0.0752,121.949,aggressive
